No,Name,Floor,Cabinet,Loop,IP,ID,Port,Interval
1,MDB1,4,,DML-1-S,192.168.1.86,3,502,
2,MDB2,4,,DML-1-S,192.168.1.86,4,502,
3,MDB3,4,,DML-1-S,192.168.1.86,5,502,
4,MDB4,4,,DML-1-S,192.168.1.86,6,502,
5,MDB5,4,,DML-1-S,192.168.1.86,7,502,
6,MDB6,4,,DML-1-S,192.168.1.86,8,502,
7,EMDB1,4,,DML-1-S,192.168.1.86,9,502,
8,EMDB2,4,,DML-1-S,192.168.1.86,10,502,
9,LP4-LTG-S,4,,DML-1-S,192.168.1.86,21,502,
10,EP6-S,4,EDB4-S(DM),DML-1-S,192.168.1.86,20,502,
11,EP5-S,4,EDB4-S(DM),DML-1-S,192.168.1.86,19,502,
12,EP4-S,4,EDB4-S(DM),DML-1-S,192.168.1.86,18,502,
13,EP2-S,4,EDB4-S(DM),DML-1-S,192.168.1.86,17,502,
14,EPB1-S,4,EDB4-S(DM),DML-1-S,192.168.1.86,16,502,
15,EDB4-S,4,EDB4-S(DM),DML-1-S,192.168.1.86,15,502,
16,LP6-S,4,DB3-S(DM),DML-1-S,192.168.1.86,14,502,
17,LP5-S,4,DB3-S(DM),DML-1-S,192.168.1.86,13,502,
18,LP4-S,4,DB3-S(DM),DML-1-S,192.168.1.86,12,502,
19,DB4-S,4,DB3-S(DM),DML-1-S,192.168.1.86,11,502,10Sec
20,LP5-LTG-S,5,,DML-1-S,192.168.1.86,2,502,
21,EP5-LTG-S,5,,DML-1-S,192.168.1.86,1,502,
22,EP2-LTG-S,2,,DML-1-S,192.168.1.86,22,502,
23,EPB1-LTG-S,1,,DML-1-S,192.168.1.86,23,502,
24,LP6-LTG-S,6,,DML-2-S,192.168.1.86,24,502,
25,EP6-LTG-S,6,,DML-2-S,192.168.1.86,25,502,
26,LP7-LTG-S,7,,DML-2-S,192.168.1.86,,502,
27,EP7-LTG-S,7,,DML-2-S,192.168.1.86,27,502,
28,EDB7-S,7,EDB7-S(DM),DML-2-S,192.168.1.86,28,502,
29,EP7-S,7,EDB7-S(DM),DML-2-S,192.168.1.86,29,502,
30,EP8-S,7,EDB7-S(DM),DML-2-S,192.168.1.86,30,502,
31,EP9-S,7,EDB7-S(DM),DML-2-S,192.168.1.86,31,502,
32,DB7-S,7,DB7-S(DM),DML-2-S,192.168.1.86,32,502,
33,LP7/1-S,7,DB7-S(DM),DML-2-S,192.168.1.86,33,502,
34,LP7/2-S,7,DB7-S(DM),DML-2-S,192.168.1.86,34,502,
35,LP7/3-S,7,DB7-S(DM),DML-2-S,192.168.1.86,35,502,
36,LP8/1-S,7,DB7-S(DM),DML-2-S,192.168.1.86,36,502,
37,LP8/2-S,7,DB7-S(DM),DML-2-S,192.168.1.86,37,502,
,LP9-LTG-S,,,,192.168.1.86,45,502,
38,LP9/S,7,DB7-S(DM),DML-2-S,192.168.1.86,38,502,
39,LP8-LTG-S,8,,DML-2-S,192.168.1.86,39,502,
40,EP8-LTG-S,8,,DML-2-S,192.168.1.86,40,502,
41,A/C 1-1,9,AMCC-01(DM),DML-2-S,192.168.1.86,41,502,
42,A/C 1-2,9,AMCC-02(DM),DML-2-S,192.168.1.86,42,502,
,A/C 2-1,,,,192.168.1.86,43,502,
,A/C 2-2,,,,192.168.1.86,44,502,
44,DBG-H,G,,DML-1-H,192.168.1.98,1,502,
45,LPG-H,G,DBG-H(DM),DML-1-H,192.168.1.98,2,502,
46,LPB1-H,G,DBG-H(DM),DML-1-H,192.168.1.98,3,502,
47,LPB2-H,G,DBG-H(DM),DML-1-H,192.168.1.98,4,502,
48,LPG-LTG-H,G,,DML-1-H,192.168.1.98,5,502,
49,EDBG-H,G,EDBG-H(DM),DML-1-H,192.168.1.98,6,502,
50,EPG-H,G,EDBG-H(DM),DML-1-H,192.168.1.98,7,502,
51,EPB1-H,G,EDBG-H(DM),DML-1-H,192.168.1.98,8,502,
52,EPB2-H,G,EDBG-H(DM),DML-1-H,192.168.1.98,9,502,
53,EPG-LTG-H,G,,DML-1-H,192.168.1.98,10,502,
54,DB1/1-H,1,DB1/1-H(DM),DML-1-H,192.168.1.98,11,502,
55,LP1/1-H,1,DB1/1-H(DM),DML-1-H,192.168.1.98,12,502,
56,LP1/2-H,1,DB1/1-H(DM),DML-1-H,192.168.1.98,13,502,
57,LP1/3-H,1,DB1/1-H(DM),DML-1-H,192.168.1.98,14,502,
58,LP1/3-LTG-H,1,,DML-1-H,192.168.1.98,15,502,
59,EDB1/1-H,1,EDB1/1-H(DM),DML-1-H,192.168.1.98,16,502,
60,EP1/1-H,1,EDB1/1-H(DM),DML-1-H,192.168.1.98,17,502,
61,EP1/2-H,1,EDB1/1-H(DM),DML-1-H,192.168.1.98,18,502,
62,EP1/1-LTG-H,1,,DML-1-H,192.168.1.98,19,502,
63,EP1/2-LTG-H,1,,DML-1-H,192.168.1.98,20,502,
64,DB1/2-H,1,DB1/2-H(DM),DML-1-H,192.168.1.98,21,502,
65,LP1/4-H,1,DB1/2-H(DM),DML-1-H,192.168.1.98,22,502,
66,LP1/2-OAU,1,DB1/2-H(DM),DML-1-H,192.168.1.98,23,502,
67,EDB1/2-H,1,EDB1/2-H(DM),DML-1-H,192.168.1.98,24,502,
68,EP1/3,1,EDB1/2-H(DM),DML-1-H,192.168.1.98,25,502,
69,EP1/4,1,EDB1/2-H(DM),DML-1-H,192.168.1.98,26,502,
70,DB2/1-H,2,DB2/1-H(DM),DML-2-H,192.168.1.98,27,502,
71,LP2/1-H,2,DB2/1-H(DM),DML-2-H,192.168.1.98,28,502,
72,LP2/2-H,2,DB2/1-H(DM),DML-2-H,192.168.1.98,29,502,
73,LP2/3-H,2,DB2/1-H(DM),DML-2-H,192.168.1.98,30,502,
